Old Name,New Name,Class,Contains N
Acetylcarnitine,Acetylcarnitine,X,Y
adenine,adenine,Nt,Y
adenine,adenine.1,Nt,Y
alpha-alanine,alpha.alanine,AA,Y
alpha-alanine,alpha.alanine.1,AA,Y
alpha-ketoglutaric acid,alpha.ketoglutaric.acid,OA,N
alpha-ketoglutaric acid,alpha.ketoglutaric.acid.1,OA,N
aminovaleric acid,aminovaleric.acid,AA,Y
arginine,arginine,AA,Y
asparagine,asparagine,AA,Y
aspartate,aspartate,AA,Y
Betaine,Betaine,X,Y
biotin,biotin,OA,Y
Calcium pantothenate(pantothenic acid),Calcium.pantothenate.pantothenic.acid.,OA,Y
Carnitine_2,Carnitine_2,X,Y
Cholinesulfate,Cholinesulfate,X,Y
cytidine,cytidine,Nt,Y
deoxyadenosine,deoxyadenosine,Nt,Y
fructose,fructose,SAC,N
fumaric acid,fumaric.acid,OA,N
glucose,glucose,SAC,N
glutamate,glutamate,AA,Y
glutamate,glutamate.1,AA,Y
glycolic acid,glycolic.acid,OA,N
guanine,guanine,Nt,Y
inosine,inosine,Nt,Y
inosine,inosine.1,AA,Y
isoleucine,isoleucine,AA,Y
isoleucine,isoleucine.1,AA,Y
L-Citrulline,L.Citrulline,AA,Y
L-Citrulline,L.Citrulline.1,AA,Y
L-tyrosine,L.tyrosine,AA,Y
L-tyrosine,L.tyrosine.1,AA,Y
lactic acid,lactic.acid,OA,N
leucine,leucine,AA,Y
leucine,leucine.1,AA,Y
lysine,lysine,AA,Y
malonic acid,malonic.acid,OA,N
maltose/cellobiose,maltose.cellobiose,SA,N
mannitol,mannitol,SACOH,N
N-acetyl-D-glucosamine,N.acetyl.D.glucosamine,AA,Y
N-acetyl-D-glucosamine,N.acetyl.D.glucosamine.1,AA,Y
nicotinic acid,nicotinic.acid,OA,Y
phenylalanine,phenylalanine,AA,Y
phenylalanine,phenylalanine.1,AA,Y
proline,proline,AA,Y
proline,proline.1,AA,Y
rhamnose,rhamnose,SAC,N
ribose,ribose,SAC,N
salicylic acid,salicylic.acid,OA,N
serine,serine,AA,Y
serine,serine.1,AA,Y
shikimic acid,shikimic.acid,OA,N
succinic acid,succinic.acid,OA,N
sucrose,sucrose,SAC,N
Tetrasaccharide1,Tetrasaccharide1,SAC,N
Tetrasaccharide2,Tetrasaccharide2,SAC,N
trehalose,trehalose,SAC,N
Trisaccharide1,Trisaccharide1,SAC,N
Trisaccharide2,Trisaccharide2,SAC,N
Trisaccharide3,Trisaccharide3,SAC,N
Trisaccharide4,Trisaccharide4,SAC,N
Uracil,Uracil,Nt,Y
Urea,Urea,N,Y
uridine,uridine,Nt,Y
uridine,uridine.1,AA,Y
valine,valine,AA,Y
valine,valine.1,AA,Y
vanillin,vanillin,PhAl,N
