"","X","POSname","NEGname","CommonName","Trtmt","Day","Cmpd","Class","ContainsN","PeakArea"
"1",1,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"alpha.ketoglutaric.acid","OA","N",87156.05
"2",2,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"alpha.ketoglutaric.acid","OA","N",160549.82
"3",3,"9S_POS.mzML","9S_NEG.mzML","Bulk_soil","X",0,"alpha.ketoglutaric.acid","OA","N",116702.72
"4",4,"1S_POS.mzML","1S_NEG.mzML","Root_1day","X",1,"alpha.ketoglutaric.acid","OA","N",192482.52
"5",5,"21S_POS.mzML","21S_NEG.mzML","Root_1day","X",1,"alpha.ketoglutaric.acid","OA","N",193805.77
"6",6,"41S_POS.mzML","41S_NEG.mzML","Root_1day","X",1,"alpha.ketoglutaric.acid","OA","N",226529.51
"7",7,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"alpha.ketoglutaric.acid","OA","N",96912.54
"8",8,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"alpha.ketoglutaric.acid","OA","N",233625.65
"9",9,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"alpha.ketoglutaric.acid","OA","N",118931.05
"10",10,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"alpha.ketoglutaric.acid","OA","N",122066.49
"11",11,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"alpha.ketoglutaric.acid","OA","N",182261.68
"12",12,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"alpha.ketoglutaric.acid","OA","N",213847.47
"13",13,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"alpha.ketoglutaric.acid","OA","N",186993.26
"14",14,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"alpha.ketoglutaric.acid","OA","N",341482.6
"15",15,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"alpha.ketoglutaric.acid","OA","N",329303.28
"16",16,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"alpha.ketoglutaric.acid","OA","N",307450.31
"17",17,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"alpha.ketoglutaric.acid","OA","N",117029.42
"18",18,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"alpha.ketoglutaric.acid","OA","N",919415.51
"19",19,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"alpha.ketoglutaric.acid","OA","N",134604.61
"20",20,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"alpha.ketoglutaric.acid","OA","N",80800.51
"21",21,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"alpha.ketoglutaric.acid","OA","N",82380.2
