POSname,NEGname,CommonName,Trtmt,Day,alpha-ketoglutaric acid,salicylic acid,adenine,uridine,nicotinic acid,phenylalanine,proline,valine,glucose,alpha-alanine,shikimic acid,succinic acid,fumaric acid,glutamate,rhamnose,fructose,serine,malonic acid,cytidine,lactic acid,glycolic acid,maltose/cellobiose,mannitol,ribose,Trisaccharide1,vanillin,L-Citrulline,sucrose,L-tyrosine,Uracil,N-acetyl-D-glucosamine,inosine,alpha-ketoglutaric acid,leucine,isoleucine,trehalose,Tetrasaccharide1,Trisaccharide2,Trisaccharide3,Trisaccharide4,Tetrasaccharide2,Urea,alpha-alanine,serine,proline,aminovaleric acid,valine,leucine,isoleucine,asparagine,aspartate,adenine,lysine,glutamate,guanine,phenylalanine,arginine,L-Citrulline,L-tyrosine,Calcium pantothenate(pantothenic acid),N-acetyl-D-glucosamine,biotin,uridine,inosine,Cholinesulfate,Betaine,Acetylcarnitine,Carnitine_2,deoxyadenosine
29S_POS.mzML,29S_NEG.mzML,Bulk_soil,X,0,87156.05,757579.31,3020860.87,9184813.45,164982.83,895307.69,325145.68,1268982.9,2025889.39,786816.42,258440.1,268019.4,151997.09,5495465.96,173449.59,3031553.16,160060.91,128497.2,130806.74,440410.89,125677.8,41583210,4591470.32,184359.23,657880.47,18894956.18,607777.38,41536426.9,369737.73,14710764.5,579415.64,292660.05,87156.05,4762773.69,1835569.77,41342269.29,466615.29,2606923.69,2855212.77,2266641.54,432925.92,110166.95,2341438.79,760715.61,4332776.65,1763071.3,4471960.37,14859090.74,6004918.07,546508.17,207311.05,5537431.15,250842.42,29862555.28,1222845.67,4835191.3,10773935.55,9488662.61,1528728.49,113901.03,259687.26,34929.91,365792.57,317445.11,91783056.14,313263379.5,15339655.12,98760880.4,37031808.09
49S_POS.mzML,49S_NEG.mzML,Bulk_soil,X,0,160549.82,1027644.56,3702015.17,10940798.43,313884.75,1163073.99,303528.96,1354791.29,2359797.17,841795.63,249829.82,1174175.14,146538.04,17648979.7,232823.19,3271602.08,187103.9,181574.71,150253.58,1330476.46,145868.23,71172375.33,2576808.9,215003.6,861597.88,14348858.03,601870.61,71061274.29,434275.64,17479170.05,812160.47,550173.9,160549.82,6131373.96,2166590.75,70959197.35,744141.57,3597134.06,3916904.04,3173734.55,712051.64,112544.27,2117663.66,734198.97,3509686.32,1997794.6,4174582.93,15948189.93,5924315.66,521613.07,517364.81,5510633.62,89016.81,67259908,1357340.38,5114656.44,4311339.66,6610372.08,1491077.13,99261.68,211420.65,28216.03,291986.42,417980.79,92260897.86,261313795.5,8121366.69,85822612.22,32561156.39
9S_POS.mzML,9S_NEG.mzML,Bulk_soil,X,0,116702.72,997597.02,4231541.34,14698702.69,298397.48,1118772.39,344495.52,1411554.86,3181417.48,786667.41,216119.2,667511.19,110132.79,11224023.03,354465.26,4129341.15,167056.64,134472.4,189088.86,1028456.4,110046.3,81792294.81,4991450.41,240186.84,896513.12,19695456.96,465098.66,81685576.97,522074.49,16072791.21,1199098.24,543341.38,116702.72,6066449.18,2184013.36,81527275.46,756650.58,3885764.46,4235104.27,3432320.42,712771.82,146707.29,2174301.04,771275.33,4636415.45,2124761.9,4653838.25,18849332.65,6043186.01,527117.39,396678.06,5978977.01,72829.3,47184497.2,1602982.1,5382158.1,3819069.48,7834016.32,1914411.86,128240.97,376585.39,44621.44,458164.07,464472.12,101529183.2,290644896.1,20810114.09,105184263.3,37935443.45
1S_POS.mzML,1S_NEG.mzML,Root_1day,X,1,192482.52,1224260.21,3962361.54,16155096.13,322115.02,1242030.65,335692.49,1424592.48,5677896.62,923624.55,320086.87,2839994.9,179043.34,16491134.18,398442.92,6882227.97,210941.71,168885.12,231954.26,861831.84,167349.17,74122319.21,5674841.02,372569.05,857548.99,15869974.37,341666.19,74523501.32,539391.75,18145194.14,990853.69,553083.57,192482.52,6720712.75,2373319,73843973.86,735772.38,3679256.44,4097378.37,3376651.71,714739.18,96562.76,2544969.34,858104.59,4221889.72,2211068.7,4909515.12,18407341.52,6905771.79,645097.59,574304.38,6429472.71,102268.38,70188858.8,1350836.58,5994505.14,7123215.17,6624983.29,2290137.94,137710.64,410294.72,70486.36,863653.5,468723.61,80614148.09,270146933,13108127.67,103878635.5,36626677.58
21S_POS.mzML,21S_NEG.mzML,Root_1day,X,1,193805.77,1583657.02,5387073.97,36274812.49,521737.53,3352000.72,616076.93,5610707.34,11278257.73,2552861.84,1198225.11,14161734.86,1091392.49,28577827.82,401902.04,26636817.97,553633.29,312796.5,272407.49,7490017.59,310529.84,84323469.26,7815943.61,607507.81,1196816.87,16907953.17,468726.29,93050252.93,1221705.39,20849266.93,1309613.96,1150816.86,193805.77,11083111.05,4155967.55,84018309.31,1023437.92,4878386.25,14285292.29,15919384.31,8274171.94,89270.86,5860976.22,1715572.5,6817248.77,2064621.6,14569094.42,29570875.17,8373729.49,8259102.18,2583814.84,6318331.71,206746.68,96391674,1581209.99,15939656.71,7736594.48,10538632.12,4177295.18,239762.65,385024.25,116741.55,1379255.97,778764.96,87856367.89,251485090.5,12932914.74,123573264.1,38614351.56
41S_POS.mzML,41S_NEG.mzML,Root_1day,X,1,226529.51,1155620.94,3636098.09,18832860.56,1001516.98,1520666.93,450065.38,2607701.1,4825081.1,1182140.59,324281.67,2422620.18,353272.15,29538504.76,205420.37,6625813.7,229447.2,229791.89,174298.22,2092543.19,338079.06,63307471.18,8665201.06,289293.01,568863.38,14716475.06,637072.69,63566379.35,982910.76,22656763.02,676467.67,581084.1,226529.51,8117610.12,2447541.63,63137919.78,314361.19,2368340.88,2691136.26,2229904.76,363736.75,92789.83,2587320.41,795518.72,5136755.28,2317859.4,7158253.81,21582035.02,8515005.69,1037088.4,933237.48,6855086.03,90378.12,94614614.7,1614335.86,6704013.31,3758406.55,10640884.78,3254549.1,155444.54,473580.03,80090.17,694109.28,535514.83,167840723.3,298456535.9,11397279.69,156395019,45860896.42
23S_POS.mzML,23S_NEG.mzML,Root_2day,X,2,96912.54,3425832.58,3497481.92,16444843.49,274100.4,1306172.9,422836.44,1828612.73,2789065.45,1117635.61,269711.9,2269107.29,273336.95,7653718.37,282019.16,4526785.33,253841.13,203492.36,201223.7,1094629.85,196505.86,67453619.94,4877846.89,356524.4,923651.46,13369105.53,465004.36,69027683.9,604778.49,18232901.2,985061.32,530965.37,96912.54,6823725.52,2481249.73,67317435.18,717317.09,3667680.11,4268344.63,3475208.49,707730.16,101494.23,3371266.52,1014618.06,5804695.96,2402072.2,6546929.66,21147108.51,8236209.63,1004336.12,502698.79,5773595.9,244376.4,41722873.41,1325314.84,7259439.47,10353232.52,7697078.48,2987334.17,247485.39,319300.07,67761.92,645429.26,489037.57,99021844.31,309530295.6,14491847.68,92246141.97,43971982.07
3S_POS.mzML,3S_NEG.mzML,Root_2day,X,2,233625.65,1973192.46,3179942.31,12512894.89,850112.59,1416153.62,411817.51,1686577.42,3491621.75,1000337.78,307156.11,11640132.26,2244741.08,24631459.08,232303.62,5086216.46,204882.15,467956.08,165098.39,2069030.94,242859.16,60039893.23,3959163.61,228886.67,759665.01,10210768.17,485055.44,60761583.53,577763.1,14863072.32,597668.31,639436.6,233625.65,7603727.38,2495723.45,59694404.13,638033.3,3420523.34,3760521.02,3188140.61,604935.66,67936.87,2347882.77,735704.61,4204570.81,2057323.4,4663984.48,17529202.86,6491085.1,547714.69,653268.6,5391927.19,75846.64,84944379.8,1354417.2,5431749.24,2651042.7,4985559.87,1852994.81,170062.28,313156.51,44609.76,386741.79,481076.27,77715155.24,257030500.3,12347847.48,78355285.54,36711540.21
43S_POS.mzML,43S_NEG.mzML,Root_2day,X,2,118931.05,2174916.49,2657338.4,8776911.15,366712.12,709202.9,222945.91,1245332.86,2376569.54,568062.95,290169.1,3325545.12,1079770.54,6199671.78,172403.2,4104025.25,94020.77,152594.43,138409.61,822189.54,119045.68,30908811.46,3486283.02,213251.39,299070.22,11684820.91,265226.2,31684423.48,283750.6,11240422.97,602551.92,391232.3,118931.05,4157494.58,1632760.14,30849437.32,235690.53,1419624.2,1668921.71,1431795.25,240372.09,83230.55,1692108.7,334224.76,3169453.71,1282492.2,3999950.11,11524837.42,4984213.97,461230.25,388681.45,4334486.68,45913.61,25389562.03,781630.03,3720876.99,1189925.23,1468831.11,1218094.86,138466.18,146194.18,26255.95,229679.33,297560.42,50979980.07,203037514.5,6518557.7,52129645.39,29378855.33
25S_POS.mzML,25S_NEG.mzML,Root_3.5day,X,3.5,122066.49,5605091.42,4285799.62,22173896.06,403069.06,1874114.23,669149.36,2877527.67,5115477.17,1455152.36,336909.07,9069825.34,1412276.22,11757305.29,357630.18,13766113.66,236692.66,195529.31,348775.42,4525978.48,171112.34,75657827.77,7337433.07,409690.06,1096207.86,15566899.7,459327.68,86842706.57,892871.97,22843213.76,945223.2,1131277.13,122066.49,8994283.18,3378341.97,75121288.28,931037.12,4536947.4,9018754.64,8990662.29,3256262.57,158784.43,4008845.65,882354.24,6932395.02,2391965.1,7878758.62,22875034.86,9021431.42,1375690.12,1552962.44,7192458.83,108027.65,57848714.4,2018239.71,8238533.55,4491475.57,6648109.98,3980835.33,221922.72,261320.51,106163.57,649135.26,845117.04,78953340.51,263158371.3,8777327.17,95585139.92,50504795.22
